"gene","pathway"
"ATRX","ORPHA:93971"
"ATRX","ORPHA:847"
"ATRX","OMIM:300448"
"ATRX","ORPHA:93972"
"ATRX","ORPHA:100075"
"ATRX","ORPHA:93974"
"KIF1A","OMIM:610357"
"KIF1A","ORPHA:970"
"KIF1A","OMIM:201300"
"KIF1A","ORPHA:101010"
"KIF1A","ORPHA:178469"
"KIF1A","OMIM:614213"
"KIF1A","ORPHA:2836"
"KIF1A","OMIM:614255"
"AUH","ORPHA:67046"
"AUH","OMIM:250950"
"AVP","ORPHA:30925"
"AVP","OMIM:125700"
"AVPR2","OMIM:300539"
"AVPR2","OMIM:304800"
"AVPR2","ORPHA:223"
"AVPR2","ORPHA:93606"
"AXL","OMIM:146110"
"B2M","OMIM:241600"
"B2M","ORPHA:314652"
"B2M","OMIM:105200"
"B2M","ORPHA:34592"
"BAAT","OMIM:607748"
"BAAT","ORPHA:238475"
"NKX3-2","ORPHA:228387"
"NKX3-2","OMIM:613330"
"BARD1","ORPHA:145"
"BBS1","OMIM:209900"
"BBS1","ORPHA:110"
"BBS2","OMIM:615981"
"BBS2","ORPHA:791"
"BBS2","OMIM:616562"
"BBS2","ORPHA:110"
"BBS4","OMIM:615982"
"BBS4","OMIM:209900"
"BBS4","ORPHA:110"
"BCKDHA","ORPHA:268162"
"BCKDHA","OMIM:248600"
"BCKDHA","ORPHA:268145"
"BCKDHA","ORPHA:268184"
"BCKDHA","ORPHA:268173"
"BCKDHB","ORPHA:268162"
"BCKDHB","OMIM:248600"
"BCKDHB","ORPHA:268145"
"BCKDHB","ORPHA:268184"
"BCKDHB","ORPHA:268173"
"CCND1","ORPHA:52416"
"CCND1","ORPHA:67038"
"CCND1","ORPHA:29073"
"BCL2","ORPHA:545"
"BCL2","ORPHA:98839"
"BCL2","ORPHA:480541"
"BCL6","ORPHA:545"
"BCL6","ORPHA:98839"
"BCL6","ORPHA:98838"
"BCL6","ORPHA:480541"
"OPN1SW","ORPHA:88629"
"OPN1SW","OMIM:190900"
"BCR","ORPHA:99860"
"BCR","ORPHA:261330"
"BCR","OMIM:608232"
"BCR","OMIM:613065"
"BCR","ORPHA:99861"
"BCR","ORPHA:521"
"BCS1L","OMIM:256000"
"BCS1L","OMIM:603358"
"BCS1L","ORPHA:123"
"BCS1L","ORPHA:254902"
"BCS1L","ORPHA:1460"
"BCS1L","OMIM:262000"
"BCS1L","OMIM:124000"
"BCS1L","ORPHA:53693"
"BDNF","ORPHA:661"
"BDNF","ORPHA:893"
"BDNF","OMIM:209880"
"CFB","ORPHA:93578"
"CFB","OMIM:615561"
"BFSP1","OMIM:611391"
"BFSP1","ORPHA:98991"
"BGN","OMIM:300106"
"BGN","ORPHA:93349"
"BGN","OMIM:300989"
"BLK","ORPHA:552"
"BLK","OMIM:613375"
"BLM","ORPHA:125"
"BLM","OMIM:210900"
"BLVRA","OMIM:614156"
"BLVRA","ORPHA:276405"
"BMP1","OMIM:614856"
"BMP1","ORPHA:216812"
"BMP2","ORPHA:261295"
"BMP2","OMIM:112600"
"BMP2","OMIM:617877"
"BMP2","ORPHA:93396"
"BMP4","ORPHA:139471"
"BMP4","OMIM:600625"
"BMP4","ORPHA:199306"
"BMP4","ORPHA:93100"
"BMP4","OMIM:607932"
"BMPR1A","ORPHA:79076"
"BMPR1A","ORPHA:440437"
"BMPR1A","ORPHA:329971"
"BMPR1A","ORPHA:157794"
"BMPR1A","OMIM:174900"
"BMPR1A","OMIM:610069"
"BMPR1B","OMIM:609441"
"BMPR1B","ORPHA:93388"
"BMPR1B","ORPHA:2639"
"BMPR1B","OMIM:616849"
"BMPR1B","OMIM:112600"
"BMPR1B","ORPHA:93384"
"BMPR1B","ORPHA:93396"
"BMPR1B","ORPHA:2098"
"BMPR2","ORPHA:275786"
"BMPR2","OMIM:265450"
"BMPR2","ORPHA:275777"
"BMPR2","ORPHA:31837"
"BMPR2","OMIM:178600"
"DST","ORPHA:412181"
"DST","OMIM:614653"
"DST","OMIM:615425"
"DST","ORPHA:314381"
"FOXL2","ORPHA:261579"
"FOXL2","OMIM:608996"
"FOXL2","ORPHA:261559"
"FOXL2","OMIM:110100"
"FOXL2","ORPHA:261572"
"FOXL2","ORPHA:99915"
"BPGM","ORPHA:714"
"BPGM","OMIM:222800"
"BRCA1","ORPHA:227535"
"BRCA1","OMIM:114480"
"BRCA1","ORPHA:1331"
"BRCA1","ORPHA:168829"
"BRCA1","ORPHA:213524"
"BRCA1","ORPHA:145"
"BRCA1","ORPHA:1333"
"BRAF","ORPHA:146"
"BRAF","OMIM:163950"
"BRAF","ORPHA:500"
"BRAF","OMIM:115150"
"BRAF","ORPHA:648"
"BRAF","OMIM:613707"
"BRAF","OMIM:211980"
"BRAF","ORPHA:1340"
"BRAF","ORPHA:58017"
"BRAF","ORPHA:251612"
"BRAF","ORPHA:99872"
"BRAF","OMIM:613706"
"BRAF","ORPHA:54595"
"BRCA2","ORPHA:227535"
"BRCA2","ORPHA:1331"
"BRCA2","OMIM:194070"
"BRCA2","ORPHA:213524"
"BRCA2","ORPHA:145"
"BRCA2","OMIM:605724"
"BRCA2","ORPHA:84"
"BRCA2","ORPHA:654"
"BRCA2","OMIM:189960"
"BRCA2","ORPHA:319462"
"BRCA2","ORPHA:1333"
"BTD","OMIM:253260"
"BTD","ORPHA:79241"
"BTK","ORPHA:632"
"BTK","OMIM:307200"
"BTK","ORPHA:47"
"BTK","OMIM:300755"
"BUB1","ORPHA:1052"
"BUB1B","OMIM:114500"
"BUB1B","ORPHA:1052"
"BUB1B","OMIM:257300"
"SERPING1","OMIM:106100"
"SERPING1","OMIM:120790"
"SERPING1","ORPHA:100051"
"SERPING1","ORPHA:459353"
"SERPING1","ORPHA:100050"
"C1QA","ORPHA:300345"
"C1QA","ORPHA:169147"
"C1QA","OMIM:613652"
"C1QB","ORPHA:169147"
"C1QB","OMIM:613652"
"C1QC","ORPHA:169147"
"C1QC","OMIM:613652"
"C1R","OMIM:216950"
"C1R","ORPHA:169147"
"C1R","ORPHA:75392"
"C1R","OMIM:130080"
"C1R","ORPHA:93552"
"C1S","ORPHA:169147"
"C1S","OMIM:613783"
"C1S","ORPHA:75392"
"C1S","OMIM:617174"
"C2","OMIM:217000"
"C2","ORPHA:169147"
"C3","ORPHA:93575"
"C3","OMIM:613779"
"C3","ORPHA:280133"
"C4A","OMIM:614380"
"C4A","ORPHA:117"
"C4A","ORPHA:300345"
"C4A","ORPHA:169147"
"C4B","ORPHA:169147"
"C4B","OMIM:614379"
"CAPN5","OMIM:193235"
"CAPN5","ORPHA:329211"
"C5","ORPHA:169150"
"C5","OMIM:609536"
"C6","OMIM:612446"
"C6","ORPHA:169150"
"C7","OMIM:610102"
"C7","ORPHA:169150"
"C8A","OMIM:613790"
"C8A","ORPHA:169150"
"C8B","ORPHA:169150"
"C8B","OMIM:613789"
"C9","ORPHA:169150"
"C9","OMIM:613825"
"C21ORF2","ORPHA:803"
"C21ORF2","OMIM:617547"
"C21ORF2","OMIM:602271"
"CA2","OMIM:259730"
"CA2","ORPHA:2785"
"CA4","OMIM:600852"
"CA4","ORPHA:791"
"CA5A","ORPHA:401948"
"CA5A","OMIM:615751"
"CA8","OMIM:613227"
"CA8","ORPHA:1766"
"CA12","OMIM:143860"
"CACNA1A","ORPHA:2131"
"CACNA1A","ORPHA:71518"
"CACNA1A","ORPHA:569"
"CACNA1A","ORPHA:97"
"CACNA1A","OMIM:617106"
"CACNA1A","OMIM:183086"
"CACNA1A","OMIM:108500"
"CACNA1A","ORPHA:98758"
"CACNA1A","OMIM:141500"
"CACNA1A","ORPHA:442835"
"CACNA1B","OMIM:614860"
"CACNA1C","OMIM:611875"
"CACNA1C","ORPHA:65283"
"CACNA1C","ORPHA:130"
"CACNA1C","OMIM:601005"
"CACNA1D","ORPHA:369929"
"CACNA1D","OMIM:615474"
"CACNA1D","OMIM:614896"
"CACNA1D","ORPHA:324321"
"CACNA1F","OMIM:300600"
"CACNA1F","ORPHA:178333"
"CACNA1F","OMIM:300476"
"CACNA1F","ORPHA:215"
"CACNA1F","ORPHA:1872"
"CACNA1F","OMIM:300071"
"CACNA1S","OMIM:170400"
"CACNA1S","ORPHA:79102"
"CACNA1S","ORPHA:681"
"CACNA1S","ORPHA:423"
"CACNA1S","ORPHA:397755"
"CACNA2D1","ORPHA:51083"
"CACNA2D1","ORPHA:130"
"CACNB2","ORPHA:130"
"CACNB2","OMIM:611876"
"CACNB4","ORPHA:307"
"CACNB4","OMIM:613855"
"CACNB4","ORPHA:211067"
"SLC25A20","ORPHA:159"
"SLC25A20","OMIM:212138"
"CAD","ORPHA:448010"
"CAD","OMIM:616457"
"CALM1","ORPHA:101016"
"CALM1","OMIM:614916"
"CALM1","OMIM:616247"
"CALM1","ORPHA:3286"
"CALM2","OMIM:616249"
"CALM2","ORPHA:101016"
"CALM2","ORPHA:130"
"CALM2","ORPHA:3286"
"CALM3","ORPHA:3286"
"CALR","OMIM:187950"
"CALR","OMIM:254450"
"CALR","ORPHA:3318"
"CALR","ORPHA:824"
"CAPN1","ORPHA:488594"
"CAPN1","OMIM:616907"
"CAPN3","ORPHA:267"
"CAPN3","OMIM:253600"
"CAST","OMIM:616295"
"CAST","ORPHA:444138"
"CASP8","OMIM:114550"
"CASP8","ORPHA:275517"
"CASP8","ORPHA:210159"
"CASP8","OMIM:607271"
"CASP10","OMIM:605027"
"CASP10","OMIM:603909"
"CASP10","OMIM:613659"
"CASP10","ORPHA:3261"
"CASQ1","ORPHA:2593"
"CASQ1","OMIM:616231"
"CASQ1","ORPHA:88635"
"CASQ2","OMIM:604772"
"CASQ2","OMIM:611938"
"CASQ2","ORPHA:3286"
"CASR","OMIM:239200"
"CASR","ORPHA:263417"
"CASR","ORPHA:428"
"CASR","ORPHA:417"
"CASR","OMIM:601198"
"CASR","ORPHA:93372"
"CASR","ORPHA:676"
"CASR","OMIM:145980"
"CAT","OMIM:614097"
"CAT","ORPHA:926"
"CAV1","ORPHA:220393"
"CAV1","ORPHA:528"
"CAV1","OMIM:612526"
"CAV1","ORPHA:275777"
"CAV1","OMIM:615343"
"CAV1","ORPHA:220402"
"CAV1","OMIM:606721"
"CAV3","OMIM:606072"
"CAV3","OMIM:614321"
"CAV3","ORPHA:206599"
"CAV3","OMIM:123320"
"CAV3","OMIM:192600"
"CAV3","ORPHA:101016"
"CAV3","OMIM:607801"
"CAV3","ORPHA:265"
"CAV3","OMIM:611818"
"CAV3","ORPHA:488650"
"CAV3","ORPHA:97238"
"RUNX2","OMIM:119600"
"RUNX2","ORPHA:2504"
"RUNX2","OMIM:156510"
"RUNX2","ORPHA:1452"
"RUNX1","ORPHA:99860"
"RUNX1","ORPHA:71290"
"RUNX1","ORPHA:102724"
"RUNX1","ORPHA:248340"
"RUNX1","OMIM:601399"
"RUNX1","ORPHA:521"
"SERPINA6","ORPHA:199247"
"SERPINA6","OMIM:611489"
"CBL","OMIM:613563"
"CBL","ORPHA:86834"
"CBL","OMIM:607785"
"CBL","ORPHA:363972"
"SERPINH1","OMIM:613848"
"SERPINH1","ORPHA:216812"
"CBS","OMIM:236200"
"CBS","ORPHA:394"
"KRIT1","OMIM:116860"
"KRIT1","ORPHA:221061"
"CCND2","OMIM:615938"
"CCND2","ORPHA:83473"
"CCNF","ORPHA:803"
"CD3D","OMIM:615617"
"CD3D","ORPHA:169160"
"CD3E","OMIM:615615"
"CD3E","ORPHA:169160"
"CD3G","ORPHA:169082"
"CD3G","OMIM:615607"
"CD247","ORPHA:85408"
"CD247","OMIM:610163"
"CD247","ORPHA:85410"
"CD247","ORPHA:169160"
"CD4","OMIM:613949"
"CD8A","ORPHA:169085"
"CD8A","OMIM:608957"
"CD19","ORPHA:1572"
"CD19","OMIM:240500"
"CD19","OMIM:613493"
"MS4A1","ORPHA:1572"
"MS4A1","OMIM:613495"
"CD27","OMIM:615122"
"CD27","ORPHA:238505"
